Stock Name,Time Frame,Zone,Entry Price,Stop Loss,Legout Date,Validation Issue,Zone Perfection,Entry Date,Status,Diff,Qty,Tgt,Yahoo Symbol,Last Close Price,Highligh
TORNTPOWER,2 HR,DZ,1011.0,997.4,1/31/2024,All Ok Zone,Perfect Zone,,,13.600000000000023,3.676470588,68.0,TORNTPOWER.NS,1329.6,
TORNTPOWER,2 HR,DZ,851.0,838.9,11/29/2023,Legout cover,Perfect Zone,,,12.100000000000023,4.132231405,60.5,TORNTPOWER.NS,1329.6,
TORNTPOWER,2 HR,DZ,592.6,586.8,07-05-2023,Legout cover,Perfect Zone,,,5.800000000000068,8.620689655,29.0,TORNTPOWER.NS,1329.6,
TRENT,2 HR,SZ,8093.0,8165.0,10/16/2024,All Ok Zone,Perfect Zone,,,-72.0,-0.694444444,-360.0,TRENT.NS,5370.5,
TVSMOTOR,2 HR,DZ,2180.0,2168.0,1/14/2025,Legout cover,Perfect Zone,,,12.0,4.166666667,60.0,TVSMOTOR.NS,3020.3,
UNITDSPR,2 HR,DZ,947.6,943.7,7/17/2023,Legout cover,Perfect Zone,,,3.8999999999999773,12.82051282,19.5,UNITDSPR.NS,1319.3,
UNOMINDA,2 HR,DZ,499.0,495.55,4/27/2023,Legout cover,Perfect Zone,,,3.4499999999999886,14.49275362,17.25,UNOMINDA.NS,1149.8,
UPL,2 HR,DZ,448.0,444.1,05-10-2024,All Ok Zone,Perfect Zone,,,3.8999999999999773,12.82051282,19.5,UPL.NS,683.75,
VBL,2 HR,DZ,413.5,409.0,11/23/2023,Not a zone,Not Perfect,,,4.5,11.11111111,22.5,VBL.NS,501.85,
WIPRO,2 HR,SZ,277.2,280.0,03-12-2025,Love at First sight missing,Perfect Zone,,,-2.8000000000000114,-17.85714286,-14.0,WIPRO.NS,246.81,
WIPRO,1 HR,DZ,198.9,198.1,11/29/2023,All Ok Zone,Perfect Zone,,,0.8000000000000114,,4.0,WIPRO.NS,246.81,
BHEL,2 HR,DZ,215.0,213.0,,,,,,2.0,,10.0,BHEL.NS,221.33,
TITAN,2 HR,DZ,3450.0,3440.0,,,Perfect Zone,,,10.0,,50.0,TITAN.NS,3489.4,
